Week,Day,Date,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 12,boxscore,W,,1-0,,Cincinnati Bengals,38,24,20,376,258,118,,26,428,341,87,2,15.94,-10.45,-0.01
2,Sun,September 19,boxscore,L,,1-1,@,New York Jets,14,28,20,291,239,52,3,23,336,200,136,,3.86,-15.80,-1.60
3,Sun,September 26,boxscore,W,,2-1,,Buffalo Bills,38,30,25,445,245,200,1,19,374,240,134,2,21.85,-8.05,-4.21
4,Mon,October 4,boxscore,W,,3-1,@,Miami Dolphins,41,14,19,265,146,119,,23,400,308,92,4,6.85,3.70,16.32
6,Sun,October 17,boxscore,W,OT,4-1,,Baltimore Ravens,23,20,23,394,267,127,2,21,377,278,99,,0.03,-3.94,4.20
7,Sun,October 24,boxscore,W,,5-1,@,San Diego Chargers,23,20,15,179,128,51,,23,363,325,38,4,-4.80,5.76,3.61
8,Sun,October 31,boxscore,W,,6-1,,Minnesota Vikings,28,18,18,362,240,122,,23,410,285,125,1,16.12,-5.41,-3.10
9,Sun,November 7,boxscore,L,,6-2,@,Cleveland Browns,14,34,19,283,215,68,3,22,404,174,230,1,1.33,-16.31,-5.16
10,Sun,November 14,boxscore,W,,7-2,@,Pittsburgh Steelers,39,26,26,453,350,103,,27,425,349,76,1,15.60,-10.29,2.65
11,Sun,November 21,boxscore,W,,8-2,,Indianapolis Colts,31,28,22,346,178,168,,28,467,396,71,3,18.18,-20.15,4.02
12,Thu,November 25,boxscore,W,,9-2,@,Detroit Lions,45,24,20,447,338,109,,25,406,277,129,2,28.10,-6.23,-2.52
13,Mon,December 6,boxscore,W,,10-2,,New York Jets,45,3,23,405,304,101,,18,301,149,152,3,27.83,10.55,0.14
14,Sun,December 12,boxscore,W,,11-2,@,Chicago Bears,36,7,27,475,351,124,,12,185,138,47,4,17.55,20.99,-8.57
15,Sun,December 19,boxscore,W,,12-2,,Green Bay Packers,31,27,14,249,136,113,,26,369,226,143,2,5.47,-4.98,2.86
16,Sun,December 26,boxscore,W,,13-2,@,Buffalo Bills,34,3,20,348,131,217,,16,369,244,125,7,4.47,21.50,4.80
17,Sun,January 2,boxscore,W,,14-2,,Miami Dolphins,38,7,24,502,321,181,1,16,250,206,44,2,17.17,8.56,4.99
Division,Sun,January 16,boxscore,L,,14-3,,New York Jets,21,28,26,372,259,113,1,14,314,194,120,,-5.26,-10.32,5.30
